Name,Rating,Rating_Count,Discount,Discount_price,Retail_price,Release_year,Win,Linux,Mac,Time
Golf With Your Friends,8,15396,-35,"4,54","6,99",2016,1,1,1,2019-10-20 15:13:41.570168
Magicka 2,6,4721,-75,"3,74","14,99",2015,1,1,1,2019-10-20 15:13:41.570168
"Warhammer 40,000: Dawn of War - Master Collection",8,9955,-75,"9,74","38,99",,1,0,0,2019-10-20 15:13:41.570168
Blood Bowl 2,6,3228,-75,"4,99","19,99",2015,1,0,1,2019-10-20 15:13:41.570168
Killing Floor 2,8,51775,-50,"13,99","27,99",2016,1,0,0,2019-10-20 15:13:41.570168
Assassin’s Creed® IV Black Flag™,8,25106,-66,"6,79","19,99",2013,1,0,0,2019-10-20 15:13:41.570168
"Warhammer 40,000: Dawn of War III",5,8189,-75,"9,99","39,99",2017,1,1,1,2019-10-20 15:13:41.570168
Age of Wonders III,6,4896,-75,"7,49","29,99",2014,1,1,1,2019-10-20 15:13:41.570168
Europa Universalis IV: Empire Founder Pack,8,40732,-65,"33,71","94,96",,1,1,1,2019-10-20 15:13:41.570168
Crusader Kings II: Dynasty Starter Pack,8,41798,-55,"19,30","42,95",,1,1,1,2019-10-20 15:13:41.570168
Castle Crashers®,9,40473,-80,"2,39","11,99",2012,1,0,1,2019-10-20 15:13:41.570168
Rebel Inc: Escalation,6,258,-10,"13,49","14,99",2019,1,0,0,2019-10-20 15:13:41.570168
Barotrauma,8,1420,-25,"18,74","24,99",2019,1,1,1,2019-10-20 15:13:41.570168
Deliver Us The Moon,8,555,-10,"22,49","24,99",2019,1,0,0,2019-10-20 15:13:41.570168
Raw Data,8,1721,-75,"9,24","36,99",2017,1,0,0,2019-10-20 15:13:41.570168
Startup Company,6,2570,-50,"5,39","10,79",2017,1,1,1,2019-10-20 15:13:41.570168
DiRT Rally,8,16389,-82,"6,29","34,99",2015,1,1,1,2019-10-20 15:13:41.570168
"Warhammer 40,000: Space Marine",8,5285,-75,"4,99","19,99",2011,1,0,0,2019-10-20 15:13:41.570168
FIVE NIGHTS AT FREDDY'S VR: HELP WANTED,9,744,-30,"17,49","24,99",2019,1,0,0,2019-10-20 15:13:41.570168
Arma 3 Apex Edition,8,93368,-78,"14,87","67,45",,1,0,0,2019-10-20 15:13:41.570168
Universe Sandbox ²,8,5989,-33,"14,06","20,99",2015,1,1,1,2019-10-20 15:13:41.570168
My Friend Pedro,9,11209,-30,"11,75","16,79",2019,1,0,0,2019-10-20 15:13:41.570168
Gensokyo Night Festival,8,1347,-10,"9,71","10,79",2019,1,0,0,2019-10-20 15:13:41.570168
Touhou Luna Nights,9,4961,-25,"11,24","14,99",2019,1,0,0,2019-10-20 15:13:41.570168
Worms W.M.D,6,2283,-75,"7,49","29,99",2016,1,1,1,2019-10-20 15:13:41.570168
GRIP: Combat Racing,8,1995,-50,"14,99","29,99",2018,1,0,0,2019-10-20 15:13:41.570168
Shadowrun: Hong Kong - Extended Edition,8,1963,-75,"4,99","19,99",2015,1,1,1,2019-10-20 15:13:41.570168
